Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2020,9963011,840913
South Toms River borough,Ocean,"South Toms River borough, Ocean County",2021,10176100,819254
Southampton township,Burlington,"Southampton township, Burlington County",2015,59317005,1035052
Southampton township,Burlington,"Southampton township, Burlington County",2016,46699562,923833
Southampton township,Burlington,"Southampton township, Burlington County",2017,45656537,996384
Southampton township,Burlington,"Southampton township, Burlington County",2018,62263640,1122564
Southampton township,Burlington,"Southampton township, Burlington County",2019,61741034,1129596
Southampton township,Burlington,"Southampton township, Burlington County",2020,54641245,1012658
Southampton township,Burlington,"Southampton township, Burlington County",2021,55531548,1106889
Sparta township,Sussex,"Sparta township, Sussex County",2015,89740723,1060901
Sparta township,Sussex,"Sparta township, Sussex County",2016,NDA,1076707
Sparta township,Sussex,"Sparta township, Sussex County",2017,NDA,1193519
Sparta township,Sussex,"Sparta township, Sussex County",2018,89380392,1336132
Sparta township,Sussex,"Sparta township, Sussex County",2019,86933105,1324597
Sparta township,Sussex,"Sparta township, Sussex County",2020,91323986,2095472
Sparta township,Sussex,"Sparta township, Sussex County",2021,93578796,3549856
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2015,28806847,2238041
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2016,NDA,1959633
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2017,NDA,2060964
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2018,27893164,2334763
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2019,26762289,2145409
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2020,27520110,1977897
Spotswood borough,Middlesex,"Spotswood borough, Middlesex County",2021,28198736,2090279
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2015,22515730,2400174
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2016,NDA,2012188
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2017,NDA,2170714
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2018,23972254,2450798
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2019,23528633,2352491
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2020,25119839,1872547
Spring Lake borough,Monmouth,"Spring Lake borough, Monmouth County",2021,25291426,1470285
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2015,21504588,1606382
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2016,NDA,1359530
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2017,NDA,1451181
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2018,21571532,1634448
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2019,20733341,1572032
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2020,21225055,1454877
Spring Lake Heights borough,Monmouth,"Spring Lake Heights borough, Monmouth County",2021,21866769,1524129
Springfield township,Burlington,"Springfield township, Burlington County",2015,16956867,334819
Springfield township,Burlington,"Springfield township, Burlington County",2016,10657470,277312
Springfield township,Burlington,"Springfield township, Burlington County",2017,10235487,280596
Springfield township,Burlington,"Springfield township, Burlington County",2018,16590973,317790
Springfield township,Burlington,"Springfield township, Burlington County",2019,15926088,297363
Springfield township,Burlington,"Springfield township, Burlington County",2020,16086748,276501
Springfield township,Burlington,"Springfield township, Burlington County",2021,16406658,297793
Springfield township,Union,"Springfield township, Union County",2015,56047377,5881830
Springfield township,Union,"Springfield township, Union County",2016,15533,4859222
Springfield township,Union,"Springfield township, Union County",2017,14568,5213709
Springfield township,Union,"Springfield township, Union County",2018,53795992,5744608
Springfield township,Union,"Springfield township, Union County",2019,52061161,5529896
Springfield township,Union,"Springfield township, Union County",2020,53063956,5083553
Springfield township,Union,"Springfield township, Union County",2021,55192068,5361954
Stafford township,Ocean,"Stafford township, Ocean County",2015,121700981,6697037
Stafford township,Ocean,"Stafford township, Ocean County",2016,117238160,7897705
Stafford township,Ocean,"Stafford township, Ocean County",2017,111217777,7921966
Stafford township,Ocean,"Stafford township, Ocean County",2018,120463454,9419028
Stafford township,Ocean,"Stafford township, Ocean County",2019,113525988,8666394
Stafford township,Ocean,"Stafford township, Ocean County",2020,118939627,493581
Stafford township,Ocean,"Stafford township, Ocean County",2021,119683848,563797
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2015,16197477,NDA
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2016,NDA,NDA
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2017,NDA,NDA
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2018,15783598,NDA
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2019,15233201,NDA
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2020,15633366,NDA
Stanhope borough,Sussex,"Stanhope borough, Sussex County",2021,15941479,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2015,20337541,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2016,NDA,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2017,NDA,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2018,19600243,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2019,19719945,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2020,20188848,NDA
Stillwater township,Sussex,"Stillwater township, Sussex County",2021,20550841,NDA
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2015,2357894,154161
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2016,NDA,162884
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2017,NDA,162420
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2018,2358054,189002
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2019,2333271,169681
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2020,2384066,265695
Stockton borough,Hunterdon,"Stockton borough, Hunterdon County",2021,2459825,328022
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2015,24076717,1369970
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2016,23778231,1163226
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2017,22273575,1215794
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2018,24180080,1325041
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2019,24082141,1338759
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2020,25208510,1321507
Stone Harbor borough,Cape May,"Stone Harbor borough, Cape May County",2021,25527174,1512481
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2015,3760788,150
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2016,3500548,662
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2017,3207219,583
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2018,3648626,747
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2019,3452520,5071
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2020,3351233,9566
Stow Creek township,Cumberland,"Stow Creek township, Cumberland County",2021,3276961,12849
Stratford borough,Camden,"Stratford borough, Camden County",2015,22677982,1813677
Stratford borough,Camden,"Stratford borough, Camden County",2016,22003548,1434772
Stratford borough,Camden,"Stratford borough, Camden County",2017,20549512,1500311
Stratford borough,Camden,"Stratford borough, Camden County",2018,22105598,1815078
Stratford borough,Camden,"Stratford borough, Camden County",2019,20760193,1679915
Stratford borough,Camden,"Stratford borough, Camden County",2020,21015297,1548455
Stratford borough,Camden,"Stratford borough, Camden County",2021,21409223,1663430
Summit city,Union,"Summit city, Union County",2015,90861592,10143011
Summit city,Union,"Summit city, Union County",2016,NDA,8309568
Summit city,Union,"Summit city, Union County",2017,NDA,8979199
Summit city,Union,"Summit city, Union County",2018,84767054,10073528
Summit city,Union,"Summit city, Union County",2019,82351746,9634245
Summit city,Union,"Summit city, Union County",2020,83819643,8811108
Summit city,Union,"Summit city, Union County",2021,86858094,9390566
Surf City borough,Ocean,"Surf City borough, Ocean County",2015,15131354,847588
Surf City borough,Ocean,"Surf City borough, Ocean County",2016,14651581,765263
Surf City borough,Ocean,"Surf City borough, Ocean County",2017,14023375,779666
Surf City borough,Ocean,"Surf City borough, Ocean County",2018,15863242,974375
Surf City borough,Ocean,"Surf City borough, Ocean County",2019,15451466,915062
Surf City borough,Ocean,"Surf City borough, Ocean County",2020,16518220,838910
Surf City borough,Ocean,"Surf City borough, Ocean County",2021,16561580,926807
Sussex borough,Sussex,"Sussex borough, Sussex County",2015,7796066,184052
Sussex borough,Sussex,"Sussex borough, Sussex County",2016,NDA,189613
Sussex borough,Sussex,"Sussex borough, Sussex County",2017,NDA,208606
Sussex borough,Sussex,"Sussex borough, Sussex County",2018,8312937,239681
Sussex borough,Sussex,"Sussex borough, Sussex County",2019,8290253,242897
Sussex borough,Sussex,"Sussex borough, Sussex County",2020,8604266,379156
Sussex borough,Sussex,"Sussex borough, Sussex County",2021,8678498,416407
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2015,76037386,593705
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2016,73909796,469009
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2017,68294215,505329
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2018,71909840,613737
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2019,69501846,572032
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2020,70241253,536684
Swedesboro borough,Gloucester,"Swedesboro borough, Gloucester County",2021,70811633,582530
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2015,35819229,666287
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2016,34538186,589856
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2017,32866943,627731
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2018,34428960,776068
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2019,33252583,798576
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2020,33613900,895820
Tabernacle township,Burlington,"Tabernacle township, Burlington County",2021,34221424,1046890
Tavistock borough,Camden,"Tavistock borough, Camden County",2015,NDA,NDA
Tavistock borough,Camden,"Tavistock borough, Camden County",2016,NDA,NDA
Tavistock borough,Camden,"Tavistock borough, Camden County",2017,NDA,NDA
Tavistock borough,Camden,"Tavistock borough, Camden County",2018,NDA,NDA
Tavistock borough,Camden,"Tavistock borough, Camden County",2019,NDA,NDA
Tavistock borough,Camden,"Tavistock borough, Camden County",2020,NDA,NDA
Tavistock borough,Camden,"Tavistock borough, Camden County",2021,NDA,NDA
Teaneck township,Bergen,"Teaneck township, Bergen County",2015,122125995,14243659
Teaneck township,Bergen,"Teaneck township, Bergen County",2016,120217871,12081717
Teaneck township,Bergen,"Teaneck township, Bergen County",2017,114993211,12599832
Teaneck township,Bergen,"Teaneck township, Bergen County",2018,122199141,14255846
Teaneck township,Bergen,"Teaneck township, Bergen County",2019,116128088,13500592
Teaneck township,Bergen,"Teaneck township, Bergen County",2020,123047575,12520332
Teaneck township,Bergen,"Teaneck township, Bergen County",2021,123455441,13430835
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2015,60591362,7513319
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2016,60205931,6703102
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2017,58451587,7048781
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2018,61303007,7607078
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2019,58090597,7339952
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2020,61444821,6883909
Tenafly borough,Bergen,"Tenafly borough, Bergen County",2021,61997702,7226522
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2015,1108021,16286
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2016,4923247,13006
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2017,5021009,13780
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2018,1626021,15749
Teterboro borough,Bergen,"Teterboro borough, Bergen County",2019,187890,15215
