Municipality,County,Year,Total Residential Electricity,Total Residential Natural Gas
Clinton township,Hunterdon,2019,54041374,2614292
Clinton township,Hunterdon,2020,55820625,4002072
Clinton township,Hunterdon,2021,56643191,5084313
Closter borough,Bergen,2015,33575319,4355936
Closter borough,Bergen,2016,33058986,3817083
Closter borough,Bergen,2017,31164327,3988879
Closter borough,Bergen,2018,32387359,4399872
Closter borough,Bergen,2019,30530501,4255044
Closter borough,Bergen,2020,32715501,3929154
Closter borough,Bergen,2021,32850128,4129109
Collingswood borough,Camden,2015,38981863,3644516
Collingswood borough,Camden,2016,39028866,3201961
Collingswood borough,Camden,2017,37196688,3254935
Collingswood borough,Camden,2018,40019696,3743447
Collingswood borough,Camden,2019,38911595,3518280
Collingswood borough,Camden,2020,39911410,3188811
Collingswood borough,Camden,2021,40888870,3438949
Colts Neck township,Monmouth,2015,68050335,5344195
Colts Neck township,Monmouth,2018,67342405,5624437
Colts Neck township,Monmouth,2019,64986413,5453856
Colts Neck township,Monmouth,2020,66470045,5228256
Colts Neck township,Monmouth,2021,68332343,5380644
Commercial township,Cumberland,2015,7693997,902537
Commercial township,Cumberland,2016,7257343,815244
Commercial township,Cumberland,2017,6734218,800939
Commercial township,Cumberland,2018,6806114,884374
Commercial township,Cumberland,2019,7254219,921437
Commercial township,Cumberland,2020,6200782,735175
Commercial township,Cumberland,2021,6855627,875260
Corbin City city,Atlantic,2015,2515565,34507
Corbin City city,Atlantic,2016,2375381,30125
Corbin City city,Atlantic,2017,2228961,29901
Corbin City city,Atlantic,2018,2469656,38596
Corbin City city,Atlantic,2019,2388025,35555
Corbin City city,Atlantic,2020,2364607,34156
Corbin City city,Atlantic,2021,2533556,38195
Cranbury township,Middlesex,2015,17546494,1537531
Cranbury township,Middlesex,2016,15285774,1378927
Cranbury township,Middlesex,2017,15378365,1385146
Cranbury township,Middlesex,2018,17722438,1594596
Cranbury township,Middlesex,2019,16564927,1533168
Cranbury township,Middlesex,2020,17406143,1415131
Cranbury township,Middlesex,2021,17554755,1501463
Cranford township,Union,2015,72590172,6626148
Cranford township,Union,2016,72522427,6697398
Cranford township,Union,2017,69389173,7138701
Cranford township,Union,2018,73009871,8182516
Cranford township,Union,2019,69579103,7695409
Cranford township,Union,2020,73544298,10438711
Cranford township,Union,2021,74889328,14607200
Cresskill borough,Bergen,2015,35036638,4483379
